timestamp,test-class,test-method,time,description,result
2021-09-11 13:23:04.248,acme.testing.administrator.userAccount.AdministratorUserAccountUpdateTest,updateNegative,276,"[1] username=null, password=null",OK
2021-09-11 13:23:07.246,acme.testing.administrator.userAccount.AdministratorUserAccountUpdateTest,updateNegative,2744,"[2] username=manager2, password=manager2",OK
2021-09-11 13:23:12.869,acme.testing.administrator.userAccount.AdministratorUserAccountUpdateTest,updatePositive,5377,"[1] recordIndex=3, username=manager3, name=Manager3, surname=Manager3, email=manager3@gmail.com, roles=Manager Authenticated, status=ENABLED, newStatus=KEEP",OK
2021-09-11 13:23:31.907,acme.testing.administrator.userAccount.AdministratorUserAccountListTest,listPositive,3837,"[1] recordIndex=0, username=anonymous, name=John, surname=Doe, email=john.doe@acme.com, roles=Anonymous, status=DISABLED",OK
2021-09-11 13:23:35.989,acme.testing.administrator.userAccount.AdministratorUserAccountListTest,listPositive,3834,"[2] recordIndex=1, username=administrator, name=Administrator, surname=Acme.com, email=administrator@acme.com, roles=Administrator Authenticated, status=ENABLED",OK
2021-09-11 13:23:40.109,acme.testing.administrator.userAccount.AdministratorUserAccountListTest,listPositive,3867,"[1] recordIndex=2, username=manager2, name=Manager2, surname=Manager2, email=manager2@gmail.com, roles=Manager Authenticated, status=ENABLED, newStatus=KEEP",OK
2021-09-11 13:23:40.623,acme.testing.administrator.userAccount.AdministratorUserAccountListTest,listNegative,259,"[1] username=null, password=null",OK
2021-09-11 13:23:43.607,acme.testing.administrator.userAccount.AdministratorUserAccountListTest,listNegative,2732,"[2] username=manager2, password=manager2",OK
2021-09-11 13:23:59.536,acme.testing.anonymous.workplan.AnonymousWorkPlanListTest,listPositive,1317,"[1] recordIndex=0, startDate=2022/04/28 08:00, endDate=2022/07/30 17:00, workLoad=5.00, publicPlan=true",OK
2021-09-11 13:24:01.069,acme.testing.anonymous.workplan.AnonymousWorkPlanListTest,listPositive,1291,"[2] recordIndex=1, startDate=2021/08/08 08:00, endDate=2022/04/30 17:00, workLoad=5.00, publicPlan=true",OK
2021-09-11 13:24:04.08,acme.testing.anonymous.workplan.AnonymousWorkPlanListTest,listNegative,2762,"[1] username=manager2, password=manager2",OK
2021-09-11 13:24:07.127,acme.testing.anonymous.workplan.AnonymousWorkPlanListTest,listNegative,2803,"[2] username=administrator, password=administrator",OK
2021-09-11 13:24:28.942,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdUpdateTest,updatePositive,7160,"[1] recordIndex=0, value=15.00",OK
2021-09-11 13:24:36.31,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdUpdateTest,updatePositive,7126,"[2] recordIndex=0, value=20.00",OK
2021-09-11 13:24:41.116,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdUpdateTest,updateNegative,4552,"[1] recordIndex=0, value=null",OK
2021-09-11 13:24:45.925,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdUpdateTest,updateNegative,4559,"[2] recordIndex=0, value=asd",OK
2021-09-11 13:24:46.433,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdUpdateTest,updateNegative,261,"[1] username=null, password=null",OK
2021-09-11 13:24:49.471,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdUpdateTest,updateNegative,2788,"[2] username=manager2, password=manager2",OK
2021-09-11 13:25:07.677,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdListTest,listPositive,3674,"[1] recordIndex=0, value=10.00",OK
2021-09-11 13:25:08.204,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdListTest,listNegative,276,"[1] username=null, password=null",OK
2021-09-11 13:25:11.175,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdListTest,listNegative,2707,"[2] username=manager2, password=manager2",OK
2021-09-11 13:25:28.933,acme.testing.administrator.workplan.AdministratorWorkPlanDashBoardTestCase,listPositive,3116,"[1] recordIndex=2, publicTasks=4, privateTasks=4, finishedTasks=3, nonFinishedTasks=5, averageWorkFlow=6.33, deviationWorkFlow=9.24, maxWorkFlow=26.00, minWorkFlow=0.00, averageExecutionPeriod=184.75, deviationExecutionPeriod=183.15, maxExecutionPeriod=520.00, minExecutionPeriod=2.00",OK
