timestamp,test-class,test-method,time,description,result
2021-09-01 10:19:34.822,acme.testing.administrator.userAccount.AdministratorUserAccountUpdateTest,updateNegative,515,"[1] username=null, password=null",OK
2021-09-01 10:19:37.879,acme.testing.administrator.userAccount.AdministratorUserAccountUpdateTest,updateNegative,2784,"[2] username=manager2, password=manager2",OK
2021-09-01 10:19:45.821,acme.testing.administrator.userAccount.AdministratorUserAccountUpdateTest,updatePositive,7673,"[1] recordIndex=3, username=manager3, name=Manager3, surname=Manager3, email=manager3@gmail.com, roles=Manager Authenticated, status=ENABLED, newStatus=KEEP",OK
2021-09-01 10:20:04.563,acme.testing.administrator.userAccount.AdministratorUserAccountListTest,listPositive,3880,"[1] recordIndex=0, username=anonymous, name=John, surname=Doe, email=john.doe@acme.com, roles=Anonymous, status=DISABLED",OK
2021-09-01 10:20:08.681,acme.testing.administrator.userAccount.AdministratorUserAccountListTest,listPositive,3860,"[2] recordIndex=1, username=administrator, name=Administrator, surname=Acme.com, email=administrator@acme.com, roles=Administrator Authenticated, status=ENABLED",OK
2021-09-01 10:20:12.819,acme.testing.administrator.userAccount.AdministratorUserAccountListTest,listPositive,3873,"[1] recordIndex=2, username=manager2, name=Manager2, surname=Manager2, email=manager2@gmail.com, roles=Manager Authenticated, status=ENABLED, newStatus=KEEP",OK
2021-09-01 10:20:13.35,acme.testing.administrator.userAccount.AdministratorUserAccountListTest,listNegative,271,"[1] username=null, password=null",OK
2021-09-01 10:20:16.327,acme.testing.administrator.userAccount.AdministratorUserAccountListTest,listNegative,2726,"[2] username=manager2, password=manager2",OK
2021-09-01 10:20:32.401,acme.testing.anonymous.workplan.AnonymousWorkPlanListTest,listPositive,1846,"[1] recordIndex=1, startDate=2021/09/30 10:00, endDate=2021/09/30 11:30, workLoad=26.00, publicPlan=true",OK
2021-09-01 10:20:33.955,acme.testing.anonymous.workplan.AnonymousWorkPlanListTest,listPositive,1303,"[2] recordIndex=2, startDate=2021/09/18 20:00, endDate=2021/09/18 22:30, workLoad=5.00, publicPlan=true",OK
2021-09-01 10:20:37.006,acme.testing.anonymous.workplan.AnonymousWorkPlanListTest,listNegative,2789,"[1] username=manager2, password=manager2",OK
2021-09-01 10:20:40.089,acme.testing.anonymous.workplan.AnonymousWorkPlanListTest,listNegative,2832,"[2] username=administrator, password=administrator",OK
2021-09-01 10:21:02.513,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdUpdateTest,updatePositive,7194,"[1] recordIndex=0, value=15.00",OK
2021-09-01 10:21:09.979,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdUpdateTest,updatePositive,7217,"[2] recordIndex=0, value=20.00",OK
2021-09-01 10:21:14.779,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdUpdateTest,updateNegative,4549,"[1] recordIndex=0, value=null",OK
2021-09-01 10:21:19.667,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdUpdateTest,updateNegative,4639,"[2] recordIndex=0, value=asd",OK
2021-09-01 10:21:20.229,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdUpdateTest,updateNegative,277,"[1] username=null, password=null",OK
2021-09-01 10:21:23.215,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdUpdateTest,updateNegative,2731,"[2] username=manager2, password=manager2",OK
2021-09-01 10:21:43.529,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdListTest,listPositive,4529,"[1] recordIndex=0, value=10.00",OK
2021-09-01 10:21:44.637,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdListTest,listNegative,585,"[1] username=null, password=null",OK
2021-09-01 10:21:50.258,acme.testing.administrator.spamfilter.threshold.AdministratorThresholdListTest,listNegative,5083,"[2] username=manager2, password=manager2",OK
2021-09-01 10:22:09.156,acme.testing.administrator.workplan.AdministratorWorkPlanDashBoardTestCase,listPositive,3665,"[1] recordIndex=2, publicTasks=4, privateTasks=4, finishedTasks=2, nonFinishedTasks=6, averageWorkFlow=6.33, deviationWorkFlow=9.24, maxWorkFlow=26.00, minWorkFlow=0.00, averageExecutionPeriod=14.88, deviationExecutionPeriod=59.50, maxExecutionPeriod=119.00, minExecutionPeriod=0.00",OK
2021-09-01 10:22:18.165,acme.testing.administrator.workplan.AdministratorWorkPlanDashBoardTestCase,listPositive,8717,"[2] recordIndex=0, publicTasks=5, privateTasks=3, finishedTasks=2, nonFinishedTasks=6, averageWorkFlow=6.33, deviationWorkFlow=9.24, maxWorkFlow=26.00, minWorkFlow=0.00, averageExecutionPeriod=14.88, deviationExecutionPeriod=59.50, maxExecutionPeriod=119.00, minExecutionPeriod=0.00",OK
2021-09-01 10:22:26.738,acme.testing.administrator.workplan.AdministratorWorkPlanDashBoardTestCase,listPositive,8330,"[3] recordIndex=1, publicTasks=6, privateTasks=2, finishedTasks=2, nonFinishedTasks=6, averageWorkFlow=6.33, deviationWorkFlow=9.24, maxWorkFlow=26.00, minWorkFlow=0.00, averageExecutionPeriod=14.88, deviationExecutionPeriod=59.50, maxExecutionPeriod=119.00, minExecutionPeriod=0.00",OK
2021-09-01 10:22:27.255,acme.testing.administrator.workplan.AdministratorWorkPlanDashBoardTestCase,listNegative,261,"[1] username=null, password=null",OK
2021-09-01 10:22:30.255,acme.testing.administrator.workplan.AdministratorWorkPlanDashBoardTestCase,listNegative,2740,"[2] username=manager3, password=manager3",OK
2021-09-01 10:22:50.95,acme.testing.manager.workplan.ManagerWorkPlanCreateTest,createPositive,5433,"[1] recordIndex=4, startDate=2022/06/01 14:00, endDate=2022/07/01 14:00",OK
2021-09-01 10:22:56.104,acme.testing.manager.workplan.ManagerWorkPlanCreateTest,createPositive,4910,"[2] recordIndex=5, startDate=2022/07/15 10:00, endDate=2022/08/01 15:00",OK
2021-09-01 10:22:59.977,acme.testing.manager.workplan.ManagerWorkPlanCreateTest,createNegative,3619,"[1] startDate=2020/06/01 14:00, endDate=2022/07/01 14:00",OK
2021-09-01 10:23:03.832,acme.testing.manager.workplan.ManagerWorkPlanCreateTest,createNegative,3609,"[2] startDate=2022/07/15 10:00, endDate=2022/06/01 15:00",OK
2021-09-01 10:23:07.672,acme.testing.manager.workplan.ManagerWorkPlanCreateTest,createNegative,3589,"[3] startDate=null, endDate=2022/07/01 14:00",OK
2021-09-01 10:23:11.532,acme.testing.manager.workplan.ManagerWorkPlanCreateTest,createNegative,3608,"[4] startDate=2022/06/01 14:00, endDate=null",OK
2021-09-01 10:23:31.882,acme.testing.manager.workplan.ManagerWorkPlanDeleteTest,deletePositive,4689,"[1] recordIndex=0, startDate=2021/09/30 10:00, nextStartDate=2021/10/12 12:00",OK
2021-09-01 10:23:36.91,acme.testing.manager.workplan.ManagerWorkPlanDeleteTest,deletePositive,4778,"[2] recordIndex=0, startDate=2021/10/12 12:00, nextStartDate=2021/05/10 15:00",OK
2021-09-01 10:23:39.879,acme.testing.manager.workplan.ManagerWorkPlanDeleteTest,deleteNegative,2709,"[1] username=manager2, password=manager2",OK
2021-09-01 10:23:42.809,acme.testing.manager.workplan.ManagerWorkPlanDeleteTest,deleteNegative,2687,"[2] username=fervalnav, password=Qwerty123",OK
2021-09-01 10:23:45.848,acme.testing.manager.workplan.ManagerWorkPlanDeleteTest,deleteNegative,2791,"[3] username=administrator, password=administrator",OK
2021-09-01 10:23:46.367,acme.testing.manager.workplan.ManagerWorkPlanDeleteTest,deleteNegative,270,"[4] username=null, password=null",OK
2021-09-01 10:23:50.628,acme.testing.manager.workplan.ManagerWorkPlanDeleteTest,deletePositive,4008,"[1] id=36, nextStartDate=2021/09/30 15:00, nextEndDate=2021/09/30 18:30, nextWorkLoad=4.00",OK
2021-09-01 10:23:54.883,acme.testing.manager.workplan.ManagerWorkPlanDeleteTest,deletePositive,4010,"[2] id=37, nextStartDate=2021/12/30 15:00, nextEndDate=2021/12/30 18:30, nextWorkLoad=5.00",OK
2021-09-01 10:24:14.258,acme.testing.manager.workplan.ManagerWorkPlanAddTaskTest,updatePositive,4675,"[1] recordIndex=0, taskId=35, entera=26, decimal=0, newEntera=27, newDecimal=0",OK
2021-09-01 10:24:19.722,acme.testing.manager.workplan.ManagerWorkPlanAddTaskTest,updatePositive,5213,"[2] recordIndex=0, taskId=34, entera=27, decimal=0, newEntera=28, newDecimal=0",OK
2021-09-01 10:24:23.986,acme.testing.manager.workplan.ManagerWorkPlanAddTaskTest,updateNegative,4011,"[1] recordIndex=0, taskId=30",OK
2021-09-01 10:24:28.334,acme.testing.manager.workplan.ManagerWorkPlanAddTaskTest,updateNegative,4100,"[2] recordIndex=0, taskId=25",OK
2021-09-01 10:24:51.913,acme.testing.manager.workplan.ManagerWorkPlanUpdateTest,updatePositive,7863,"[1] recordIndex=0, startDate=2021/12/10 14:00, endDate=2021/12/15 14:00",OK
2021-09-01 10:25:01.942,acme.testing.manager.workplan.ManagerWorkPlanUpdateTest,updatePositive,9514,"[2] recordIndex=1, startDate=2021/12/15 10:00, endDate=2021/12/21 15:00",OK
